Date,Open,High,Low,Close,Adj Close,Volume
15-02-2019,144,147.399994,142.100006,144.949997,144.949997,3684850
18-02-2019,145.699997,147.800003,144.850006,146.899994,146.899994,3190140
19-02-2019,147.149994,151.050003,147.149994,148.75,148.75,3702108
20-02-2019,150,150.199997,145.25,145.949997,145.949997,2615693
21-02-2019,145.800003,146.399994,143.25,144.449997,144.449997,1994132
22-02-2019,145,147.649994,144.800003,147.25,147.25,2224629
25-02-2019,147.300003,149,146.550003,148.600006,148.600006,2230589
26-02-2019,148.100006,149.850006,145.600006,146.699997,146.699997,3100200
27-02-2019,145.699997,147.399994,145.350006,146.100006,146.100006,2181507
28-02-2019,147,147.75,144.100006,145.75,145.75,2227819
01-03-2019,150.100006,150.699997,147.850006,150,150,3271929
05-03-2019,150,153.800003,148.350006,150.850006,150.850006,5110801
06-03-2019,152.5,156.899994,151.199997,155.899994,155.899994,4578444
07-03-2019,157.350006,157.75,152.600006,153.850006,153.850006,2936724
08-03-2019,153.399994,158.5,152,157.800003,157.800003,3232504
11-03-2019,158,158.899994,151.800003,152.550003,152.550003,3822345
12-03-2019,150.949997,151.550003,147,147.5,147.5,3464092
13-03-2019,148.5,150.550003,147,149.5,149.5,2694980
14-03-2019,151,156.5,151,154.550003,154.550003,7246206
15-03-2019,154.850006,156.949997,153.399994,155.300003,155.300003,3016663
18-03-2019,156.449997,157.350006,154.449997,155.75,155.75,2754901
19-03-2019,156.100006,158.25,154.449997,156.050003,156.050003,4505123
20-03-2019,156.25,157.75,154.5,155.100006,155.100006,3829066
22-03-2019,155.350006,158.5,154.300003,155.899994,155.899994,4162952
25-03-2019,156.699997,157.050003,154.550003,155.25,155.25,1619010
26-03-2019,155.5,159.899994,154.649994,157.850006,157.850006,3537675
27-03-2019,157.300003,158.449997,153.550003,154.899994,154.899994,4425600
28-03-2019,153.949997,155.399994,151.149994,151.800003,151.800003,3076951
01-04-2019,151.199997,156.199997,151.199997,155.5,155.5,2758424
02-04-2019,155.75,159.600006,154.550003,159.050003,159.050003,4972531
03-04-2019,159.25,160.550003,155.5,156.649994,156.649994,3682002
04-04-2019,156.25,159.199997,154.600006,155.100006,155.100006,2755310
